chapter_id	chapter_title	authority_tier	manual_treatment	relative_path	expected_sha256	actual_sha256	hash_status	extraction_method	extraction_status	character_count	word_count	output_path	note
00	Executive Overview and Decision Snapshot	TIER_1	CORE_NARRATIVE	00_START_HERE/README.md	6611c2adecbaf2ca2c99b2ed1d532edec41312a51cad5f8fd10dff1a5a3fa817	6611c2adecbaf2ca2c99b2ed1d532edec41312a51cad5f8fd10dff1a5a3fa817	HASH_VERIFIED	PLAIN_TEXT	EXTRACTED	1135	157	08_MASTER_MANUAL/05_Source_Extraction/01_Tier1_Tier2_Core/00/6611c2adecba__README.md	Text extracted without summarization.
01	Project Mandate, Requirements and Governance	TIER_1	CORE_NARRATIVE	01_GOVERNANCE_AND_CONTROL/01_Project_Requirements/Teacher_Project_Requirements_and_Change_Context.md	0711a1a7fca621fa36595eff60a0f61b6a0f3edda0f597aa340f5d316b61fb05	0711a1a7fca621fa36595eff60a0f61b6a0f3edda0f597aa340f5d316b61fb05	HASH_VERIFIED	PLAIN_TEXT	EXTRACTED	2898	392	08_MASTER_MANUAL/05_Source_Extraction/01_Tier1_Tier2_Core/01/0711a1a7fca6__Teacher_Project_Requirements_and_Change_Context.md	Text extracted without summarization.
01	Project Mandate, Requirements and Governance	TIER_1	CORE_NARRATIVE	01_GOVERNANCE_AND_CONTROL/02_Decision_Registers/HISTORICAL_Project_mC_Decision_Register_v1.0.md	875acb70b77be4f303107ce37dbc8f5cfb7d4f278089cdf4317f52d1c8ee668d	875acb70b77be4f303107ce37dbc8f5cfb7d4f278089cdf4317f52d1c8ee668d	HASH_VERIFIED	PLAIN_TEXT	EXTRACTED	42697	4680	08_MASTER_MANUAL/05_Source_Extraction/01_Tier1_Tier2_Core/01/875acb70b77b__HISTORICAL_Project_mC_Decision_Register_v1.0.md	Text extracted without summarization.
01	Project Mandate, Requirements and Governance	TIER_1	CORE_NARRATIVE	01_GOVERNANCE_AND_CONTROL/02_Decision_Registers/Project_mC_Decision_Register_v1.2.md	9678c5072d86ef38e48372f940ec91396b7ac7bcbeed0124ac8e2485307f408c	9678c5072d86ef38e48372f940ec91396b7ac7bcbeed0124ac8e2485307f408c	HASH_VERIFIED	PLAIN_TEXT	EXTRACTED	56007	6140	08_MASTER_MANUAL/05_Source_Extraction/01_Tier1_Tier2_Core/01/9678c5072d86__Project_mC_Decision_Register_v1.2.md	Text extracted without summarization.
01	Project Mandate, Requirements and Governance	TIER_1	CORE_NARRATIVE	01_GOVERNANCE_AND_CONTROL/03_Project_Context_and_Phase_Map/MC_Project_PHASE_DOC.md	8db62e0893293f93f89c00ab09640b6eb750118e140a820813f9c8aef5d00dde	8db62e0893293f93f89c00ab09640b6eb750118e140a820813f9c8aef5d00dde	HASH_VERIFIED	PLAIN_TEXT	EXTRACTED	12077	1675	08_MASTER_MANUAL/05_Source_Extraction/01_Tier1_Tier2_Core/01/8db62e089329__MC_Project_PHASE_DOC.md	Text extracted without summarization.
01	Project Mandate, Requirements and Governance	TIER_1	CORE_NARRATIVE	01_GOVERNANCE_AND_CONTROL/03_Project_Context_and_Phase_Map/PROJECT_CONCEPT_CONTEXT.md	f520cb5201e299fb0f9185bd2b79318229b898e5a8ad7822deb9a073e8f6cae4	f520cb5201e299fb0f9185bd2b79318229b898e5a8ad7822deb9a073e8f6cae4	HASH_VERIFIED	PLAIN_TEXT	EXTRACTED	6627	879	08_MASTER_MANUAL/05_Source_Extraction/01_Tier1_Tier2_Core/01/f520cb5201e2__PROJECT_CONCEPT_CONTEXT.md	Text extracted without summarization.
01	Project Mandate, Requirements and Governance	TIER_1	CORE_NARRATIVE	01_GOVERNANCE_AND_CONTROL/04_Repository_Control/AGENTS.md	f04384c78d2b342eaccf951dc126ad8df809210b233e199ce06ec169736a5594	f04384c78d2b342eaccf951dc126ad8df809210b233e199ce06ec169736a5594	HASH_VERIFIED	PLAIN_TEXT	EXTRACTED	3304	450	08_MASTER_MANUAL/05_Source_Extraction/01_Tier1_Tier2_Core/01/f04384c78d2b__AGENTS.md	Text extracted without summarization.
01	Project Mandate, Requirements and Governance	TIER_1	CORE_NARRATIVE	01_GOVERNANCE_AND_CONTROL/04_Repository_Control/Legacy_Audits_and_Snapshots/CLEANUP_DIFF_NAME_STATUS.txt	109a32a0c4f7f991c157fb4743601f6033bea3db415edf5a04b24f5cc64f7f53	109a32a0c4f7f991c157fb4743601f6033bea3db415edf5a04b24f5cc64f7f53	HASH_VERIFIED	PLAIN_TEXT	EXTRACTED	170	12	08_MASTER_MANUAL/05_Source_Extraction/01_Tier1_Tier2_Core/01/109a32a0c4f7__CLEANUP_DIFF_NAME_STATUS.md	Text extracted without summarization.
01	Project Mandate, Requirements and Governance	TIER_1	CORE_NARRATIVE	01_GOVERNANCE_AND_CONTROL/04_Repository_Control/Legacy_Audits_and_Snapshots/CLEANUP_VALIDATION_REPORT.md	975767d50bf28bb29c0ed7b12b3c4949551f7fefc63f4aef9004335a7a18efe5	975767d50bf28bb29c0ed7b12b3c4949551f7fefc63f4aef9004335a7a18efe5	HASH_VERIFIED	PLAIN_TEXT	EXTRACTED	6695	862	08_MASTER_MANUAL/05_Source_Extraction/01_Tier1_Tier2_Core/01/975767d50bf2__CLEANUP_VALIDATION_REPORT.md	Text extracted without summarization.
01	Project Mandate, Requirements and Governance	TIER_1	CORE_NARRATIVE	01_GOVERNANCE_AND_CONTROL/04_Repository_Control/Legacy_Audits_and_Snapshots/CONTEXT_AND_ZIP_PACKAGES.md	98a9febc897d759037e545cba8424e0bec33243804d0bcda5285b7bd5cfbe16d	98a9febc897d759037e545cba8424e0bec33243804d0bcda5285b7bd5cfbe16d	HASH_VERIFIED	PLAIN_TEXT	EXTRACTED	943	119	08_MASTER_MANUAL/05_Source_Extraction/01_Tier1_Tier2_Core/01/98a9febc897d__CONTEXT_AND_ZIP_PACKAGES.md	Text extracted without summarization.
