chapter_id	chapter_title	authority_tier	manual_treatment	relative_path	size_bytes	sha256	mapping_note
00	Executive Overview and Decision Snapshot	TIER_1	CORE_NARRATIVE	00_START_HERE/README.md	1140	6611c2adecbaf2ca2c99b2ed1d532edec41312a51cad5f8fd10dff1a5a3fa817	Current workspace navigation and stage state.
01	Project Mandate, Requirements and Governance	TIER_1	CORE_NARRATIVE	01_GOVERNANCE_AND_CONTROL/01_Project_Requirements/Teacher_Project_Requirements_and_Change_Context.md	2905	0711a1a7fca621fa36595eff60a0f61b6a0f3edda0f597aa340f5d316b61fb05	Controlling governance or repository authority.
01	Project Mandate, Requirements and Governance	TIER_1	CORE_NARRATIVE	01_GOVERNANCE_AND_CONTROL/02_Decision_Registers/HISTORICAL_Project_mC_Decision_Register_v1.0.md	42726	875acb70b77be4f303107ce37dbc8f5cfb7d4f278089cdf4317f52d1c8ee668d	Controlling governance or repository authority.
01	Project Mandate, Requirements and Governance	TIER_1	CORE_NARRATIVE	01_GOVERNANCE_AND_CONTROL/02_Decision_Registers/Project_mC_Decision_Register_v1.2.md	56071	9678c5072d86ef38e48372f940ec91396b7ac7bcbeed0124ac8e2485307f408c	Controlling governance or repository authority.
01	Project Mandate, Requirements and Governance	TIER_1	CORE_NARRATIVE	01_GOVERNANCE_AND_CONTROL/03_Project_Context_and_Phase_Map/MC_Project_PHASE_DOC.md	12219	8db62e0893293f93f89c00ab09640b6eb750118e140a820813f9c8aef5d00dde	Controlling governance or repository authority.
01	Project Mandate, Requirements and Governance	TIER_1	CORE_NARRATIVE	01_GOVERNANCE_AND_CONTROL/03_Project_Context_and_Phase_Map/PROJECT_CONCEPT_CONTEXT.md	6646	f520cb5201e299fb0f9185bd2b79318229b898e5a8ad7822deb9a073e8f6cae4	Controlling governance or repository authority.
01	Project Mandate, Requirements and Governance	TIER_1	CORE_NARRATIVE	01_GOVERNANCE_AND_CONTROL/04_Repository_Control/AGENTS.md	3305	f04384c78d2b342eaccf951dc126ad8df809210b233e199ce06ec169736a5594	Controlling governance or repository authority.
01	Project Mandate, Requirements and Governance	TIER_1	CORE_NARRATIVE	01_GOVERNANCE_AND_CONTROL/04_Repository_Control/Legacy_Audits_and_Snapshots/CLEANUP_DIFF_NAME_STATUS.txt	171	109a32a0c4f7f991c157fb4743601f6033bea3db415edf5a04b24f5cc64f7f53	Controlling governance or repository authority.
01	Project Mandate, Requirements and Governance	TIER_1	CORE_NARRATIVE	01_GOVERNANCE_AND_CONTROL/04_Repository_Control/Legacy_Audits_and_Snapshots/CLEANUP_VALIDATION_REPORT.md	6760	975767d50bf28bb29c0ed7b12b3c4949551f7fefc63f4aef9004335a7a18efe5	Controlling governance or repository authority.
01	Project Mandate, Requirements and Governance	TIER_1	CORE_NARRATIVE	01_GOVERNANCE_AND_CONTROL/04_Repository_Control/Legacy_Audits_and_Snapshots/CONTEXT_AND_ZIP_PACKAGES.md	944	98a9febc897d759037e545cba8424e0bec33243804d0bcda5285b7bd5cfbe16d	Controlling governance or repository authority.
